typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","360","IDN","Indonesia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","570979.813",,"570979.813","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","364","IRN","Iran","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","56625.533",,"56625.533","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","368","IRQ","Iraq","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1545.69",,"1545.69","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","372","IRL","Ireland","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3469650.364",,"3469650.364","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","376","ISR","Israel","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","40231605.008",,"40231605.008","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","380","ITA","Italy","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","10378113.872",,"10378113.872","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","384","CIV","Côte d'Ivoire","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1.28",,"1.28","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","388","JAM","Jamaica","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5670.184",,"5670.184","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","392","JPN","Japan","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","74462850.59",,"74462850.59","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","400","JOR","Jordan","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","433.153",,"433.153","0","false","true",
