reporterISO,flowCode,refYear,regime_index,primaryValue,share
BEL,M,2001,0.0,7662527212.0,4.31
BEL,M,2001,1.0,5655152569.0,3.18
BEL,M,2001,2.0,9195026686.0,5.17
BEL,M,2001,3.0,155293874415.0,87.34
BEL,M,2002,0.0,8862015735.0,4.49
BEL,M,2002,1.0,6445142463.0,3.26
BEL,M,2002,2.0,9680000887.0,4.9
BEL,M,2002,3.0,172431336723.0,87.34
BEL,M,2003,0.0,10019731865.0,4.28
BEL,M,2003,1.0,8341784513.0,3.56
BEL,M,2003,2.0,11376648222.0,4.86
BEL,M,2003,3.0,204406412574.0,87.3
BEL,M,2004,0.0,13490527434.0,4.74
BEL,M,2004,1.0,10740363334.0,3.77
BEL,M,2004,2.0,14222757688.0,4.99
BEL,M,2004,3.0,246341622012.0,86.5
BEL,M,2005,0.0,17315417375.0,5.46
BEL,M,2005,1.0,13072442702.0,4.12
BEL,M,2005,2.0,15169936863.0,4.79
BEL,M,2005,3.0,271368155174.0,85.63
BEL,M,2006,0.0,19335898911.0,5.49
BEL,M,2006,1.0,16145581531.0,4.59
BEL,M,2006,2.0,17413850398.0,4.95
BEL,M,2006,3.0,298987297041.0,84.97
BEL,M,2007,0.0,24575874070.0,5.97
BEL,M,2007,1.0,19142687962.0,4.65
BEL,M,2007,2.0,20772500703.0,5.05
BEL,M,2007,3.0,346924338436.0,84.32
BEL,M,2008,0.0,31053072374.0,6.68
BEL,M,2008,1.0,19944497732.0,4.29
BEL,M,2008,2.0,23839495023.0,5.13
BEL,M,2008,3.0,389936045213.0,83.9
BEL,M,2009,0.0,21557560318.0,6.1
BEL,M,2009,1.0,17357928338.0,4.91
BEL,M,2009,2.0,17277546529.0,4.89
BEL,M,2009,3.0,297395498252.0,84.11
BEL,M,2010,0.0,14459661647.553999,5.12
BEL,M,2010,1.0,12383457779.387,4.39
BEL,M,2010,2.0,13258450219.564001,4.7
BEL,M,2010,3.0,242104386211.497,85.79
BEL,M,2011,0.0,18003011776.14,5.28
BEL,M,2011,1.0,16874394341.442001,4.95
BEL,M,2011,2.0,18727327084.658,5.5
BEL,M,2011,3.0,287189452226.507,84.27
BEL,M,2012,0.0,16047050470.908,5.05
BEL,M,2012,1.0,16272934301.741,5.12
BEL,M,2012,2.0,15866970165.436,4.99
BEL,M,2012,3.0,269568008252.913,84.84
BEL,M,2013,0.0,16524152573.254,5.05
BEL,M,2013,1.0,16747223633.809002,5.12
BEL,M,2013,2.0,15781410161.22,4.82
BEL,M,2013,3.0,278146475908.214,85.01
BEL,M,2014,0.0,16611266695.758,5.07
BEL,M,2014,1.0,20912320060.442,6.38
BEL,M,2014,2.0,16672329899.119,5.09
BEL,M,2014,3.0,273375439260.56,83.46
BEL,M,2015,0.0,15919372107.865002,6.18
BEL,M,2015,1.0,14731140863.262001,5.72
BEL,M,2015,2.0,14898721745.897001,5.78
BEL,M,2015,3.0,212208741373.928,82.33
BEL,M,2016,0.0,14413352655.98,5.22
BEL,M,2016,1.0,17598718321.095,6.38
BEL,M,2016,2.0,15700174816.317,5.69
BEL,M,2016,3.0,228263185538.079,82.71
BEL,M,2017,0.0,14697345421.603,4.82
BEL,M,2017,1.0,18710127907.071,6.14
BEL,M,2017,2.0,22312796974.453,7.32
BEL,M,2017,3.0,249193345088.91202,81.73
BEL,M,2018,0.0,16582288213.304,4.89
BEL,M,2018,1.0,24374725195.43,7.19
BEL,M,2018,2.0,20703364695.534,6.1
BEL,M,2018,3.0,277485451018.375,81.82
BEL,M,2019,0.0,14301749662.456,4.5
BEL,M,2019,1.0,23149968109.638,7.29
BEL,M,2019,2.0,18326147328.151,5.77
BEL,M,2019,3.0,261873604099.03,82.44
BEL,M,2020,0.0,13463737716.630999,4.6
BEL,M,2020,1.0,20704099137.917,7.07
BEL,M,2020,2.0,18527146478.112,6.33
BEL,M,2020,3.0,240006615416.694,82.0
BEL,M,2021,0.0,19055649433.911,4.87
BEL,M,2021,1.0,27783190344.77,7.1
BEL,M,2021,2.0,31087133330.588,7.95
BEL,M,2021,3.0,313195684006.152,80.08
BEL,M,2022,0.0,29756173024.402,6.45
BEL,M,2022,1.0,34025379091.347,7.37
BEL,M,2022,2.0,34372820663.447,7.45
BEL,M,2022,3.0,363253036362.563,78.73
BEL,M,2023,0.0,23502609853.541,5.69
BEL,M,2023,1.0,23798872026.026,5.76
BEL,M,2023,2.0,35006881800.967,8.47
BEL,M,2023,3.0,330756195702.852,80.07
BEL,M,2024,0.0,18564024001.432,5.09
BEL,M,2024,1.0,20229543905.937,5.55
BEL,M,2024,2.0,29396305824.506,8.06
BEL,M,2024,3.0,296480550705.19104,81.3
BEL,X,2000,0.0,4974451396.0,2.67
BEL,X,2000,1.0,4933028142.0,2.65
BEL,X,2000,2.0,9126466541.0,4.9
BEL,X,2000,3.0,167067247615.0,89.77
BEL,X,2001,0.0,5535668648.0,2.94
BEL,X,2001,1.0,5073761758.0,2.69
BEL,X,2001,2.0,8281116938.0,4.4
BEL,X,2001,3.0,169495570038.0,89.97
BEL,X,2002,0.0,6726335840.0,3.14
BEL,X,2002,1.0,5457070068.0,2.55
BEL,X,2002,2.0,10110690007.0,4.73
BEL,X,2002,3.0,191582321584.0,89.58
BEL,X,2003,0.0,7501333052.0,2.96
BEL,X,2003,1.0,6709337036.0,2.65
BEL,X,2003,2.0,11778995206.0,4.65
BEL,X,2003,3.0,227272253650.0,89.74
BEL,X,2004,0.0,8809105223.0,2.89
BEL,X,2004,1.0,8398013994.0,2.75
BEL,X,2004,2.0,14748214847.0,4.83
BEL,X,2004,3.0,273131207819.0,89.53
BEL,X,2005,0.0,10067360367.0,3.03
BEL,X,2005,1.0,9458716168.0,2.85
