reporterISO,flowCode,refYear,regime_index,primaryValue
HUN,X,2005,0.0,1490947000.0
HUN,X,2005,1.0,3140252000.0
HUN,X,2005,2.0,5472220000.0
HUN,X,2005,3.0,51458245000.0
HUN,X,2006,0.0,1920890000.0
HUN,X,2006,1.0,3595654000.0
HUN,X,2006,2.0,8891225000.0
HUN,X,2006,3.0,59544546000.0
HUN,X,2007,0.0,2523796000.0
HUN,X,2007,1.0,4965582000.0
HUN,X,2007,2.0,11018069000.0
HUN,X,2007,3.0,76011246000.0
HUN,X,2008,0.0,2881256000.0
HUN,X,2008,1.0,6184321000.0
HUN,X,2008,2.0,13813967000.0
HUN,X,2008,3.0,85254264000.0
HUN,X,2009,0.0,2561946000.0
HUN,X,2009,1.0,4332794000.0
HUN,X,2009,2.0,9809155000.0
HUN,X,2009,3.0,65800919000.0
HUN,X,2010,0.0,3069782000.0
HUN,X,2010,1.0,7188010000.0
HUN,X,2010,2.0,10362695000.0
HUN,X,2010,3.0,74019366000.0
HUN,X,2011,0.0,4512377000.0
HUN,X,2011,1.0,8514391000.0
HUN,X,2011,2.0,13134407000.0
HUN,X,2011,3.0,84898677000.0
HUN,X,2012,0.0,3879069488.0
HUN,X,2012,1.0,7627307982.0
HUN,X,2012,2.0,12422125099.0
HUN,X,2012,3.0,78797618433.0
HUN,X,2013,0.0,4068646760.0
HUN,X,2013,1.0,9632475080.0
HUN,X,2013,2.0,13213631046.0
HUN,X,2013,3.0,80945475918.0
HUN,X,2014,0.0,3445001956.0
HUN,X,2014,1.0,10754580902.0
HUN,X,2014,2.0,11460456098.0
HUN,X,2014,3.0,86703755959.0
HUN,X,2015,0.0,3037370088.0
HUN,X,2015,1.0,8106707275.0
HUN,X,2015,2.0,10259274275.0
HUN,X,2015,3.0,78704869997.0
HUN,X,2016,0.0,3358088399.0
HUN,X,2016,1.0,8038651971.0
HUN,X,2016,2.0,14641689973.0
HUN,X,2016,3.0,76770287146.0
HUN,X,2017,0.0,3833188288.0
HUN,X,2017,1.0,9269014836.0
HUN,X,2017,2.0,16739201342.0
HUN,X,2017,3.0,83413666850.0
HUN,X,2018,0.0,3558535451.0
HUN,X,2018,1.0,9704433741.0
HUN,X,2018,2.0,18248468834.0
HUN,X,2018,3.0,92110843260.0
HUN,X,2019,0.0,2893893364.0
HUN,X,2019,1.0,7582854380.0
HUN,X,2019,2.0,26776024167.0
HUN,X,2019,3.0,84711983879.0
HUN,X,2020,0.0,3388855781.0
HUN,X,2020,1.0,7590647327.0
HUN,X,2020,2.0,31220654440.0
HUN,X,2020,3.0,77560254999.0
HUN,X,2021,0.0,4101878131.0
HUN,X,2021,1.0,9114580975.0
HUN,X,2021,2.0,45737692998.0
HUN,X,2021,3.0,82003885648.0
HUN,X,2022,0.0,4053627674.0
HUN,X,2022,1.0,11468604447.0
HUN,X,2022,2.0,39799542603.0
