reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUT,X,2007,1.0,7279795494.0,4.67
AUT,X,2007,2.0,11798992584.0,7.57
AUT,X,2007,3.0,131521644274.0,84.37
AUT,X,2008,0.0,6020192296.0,3.51
AUT,X,2008,1.0,9203140890.0,5.36
AUT,X,2008,2.0,14294830694.0,8.33
AUT,X,2008,3.0,142028556380.0,82.79
AUT,X,2009,0.0,5602745644.0,4.28
AUT,X,2009,1.0,6856077430.0,5.24
AUT,X,2009,2.0,9811061423.0,7.49
AUT,X,2009,3.0,108659053450.0,82.99
AUT,X,2010,0.0,6448444963.0,4.47
AUT,X,2010,1.0,7926288622.0,5.5
AUT,X,2010,2.0,14510357943.0,10.07
AUT,X,2010,3.0,115278876592.0,79.96
AUT,X,2011,0.0,7058615664.0,4.21
AUT,X,2011,1.0,9472934535.0,5.66
AUT,X,2011,2.0,16930855286.0,10.11
AUT,X,2011,3.0,134038692750.0,80.02
AUT,X,2012,0.0,6842050900.196,4.46
AUT,X,2012,1.0,9221206924.354,6.01
AUT,X,2012,2.0,15642933354.282,10.19
AUT,X,2012,3.0,121741806801.605,79.34
AUT,X,2013,0.0,7934652775.937,4.91
AUT,X,2013,1.0,11196130862.449,6.93
AUT,X,2013,2.0,16105429078.313,9.97
AUT,X,2013,3.0,126353222133.519,78.19
AUT,X,2014,0.0,8642395210.103,5.24
AUT,X,2014,1.0,11055093651.494999,6.7
AUT,X,2014,2.0,15658125134.076,9.49
AUT,X,2014,3.0,129633724857.664,78.57
AUT,X,2015,0.0,7172207800.841,5.08
AUT,X,2015,1.0,7900125816.224999,5.59
AUT,X,2015,2.0,13700502015.435,9.7
AUT,X,2015,3.0,112487872110.905,79.63
AUT,X,2016,0.0,6642557591.906,4.72
AUT,X,2016,1.0,7563380225.551,5.38
AUT,X,2016,2.0,18407433088.312,13.09
AUT,X,2016,3.0,108052506523.713,76.82
AUT,X,2017,0.0,7066571605.542,4.54
AUT,X,2017,1.0,9002097925.406,5.78
AUT,X,2017,2.0,19789057943.503998,12.71
AUT,X,2017,3.0,119787131610.923,76.96
AUT,X,2018,0.0,7616092778.829,4.35
AUT,X,2018,1.0,16168883196.394001,9.23
AUT,X,2018,2.0,16988608777.435,9.7
