reporterISO,refYear,flowCode,v2x_regime,primaryValue,share
AIA,2003,M,3.0,60365232.0,87.39
AIA,2003,X,1.0,198.0,0.01
AIA,2003,X,2.0,1060415.0,29.78
AIA,2003,X,3.0,2500350.0,70.22
AIA,2004,M,0.0,163644.0,0.18
AIA,2004,M,1.0,572805.0,0.62
AIA,2004,M,2.0,11656362.0,12.58
AIA,2004,M,3.0,80261736.0,86.62
AIA,2004,X,0.0,4270.0,0.19
AIA,2004,X,2.0,231377.0,10.27
AIA,2004,X,3.0,2016355.0,89.54
AIA,2006,M,0.0,710498.0,0.44
AIA,2006,M,1.0,644555.0,0.4
AIA,2006,M,2.0,10165251.0,6.34
AIA,2006,M,3.0,148848680.0,92.82
AIA,2006,X,0.0,369.0,0.01
AIA,2006,X,2.0,3701553.0,62.83
AIA,2006,X,3.0,2189047.0,37.16
AIA,2007,M,0.0,1823536.0,0.81
AIA,2007,M,1.0,1299145.0,0.58
AIA,2007,M,2.0,13526758.0,6.01
AIA,2007,M,3.0,208591021.0,92.61
AIA,2007,X,0.0,6864.0,0.1
AIA,2007,X,2.0,3769973.0,53.15
AIA,2007,X,3.0,3315963.0,46.75
AIA,2008,M,0.0,1483512.0,0.6
AIA,2008,M,1.0,777440.0,0.31
AIA,2008,M,2.0,17429036.0,7.0
AIA,2008,M,3.0,229267355.0,92.09
AIA,2008,X,0.0,846.0,0.01
AIA,2008,X,2.0,4419906.0,62.72
AIA,2008,X,3.0,2626237.0,37.27
ALB,2000,M,0.0,18151380.0,1.68
ALB,2000,M,1.0,59466367.0,5.51
ALB,2000,M,2.0,115879991.0,10.74
ALB,2000,M,3.0,885310283.0,82.06
ALB,2000,X,0.0,13269.0,0.01
ALB,2000,X,1.0,4217857.0,1.66
ALB,2000,X,2.0,3451241.0,1.36
ALB,2000,X,3.0,246608522.0,96.98
ALB,2001,M,0.0,30599679.0,2.31
ALB,2001,M,1.0,67892605.0,5.13
ALB,2001,M,2.0,156074058.0,11.79
